[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294903] [SKIP] [AUBANK] clean stage (output exists)
[2026-07-07 19:52:14,294] [INFO] [__main__] Running chunk stage for AUBANK
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294948] [START] [AUBANK] chunk stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294987] [SKIP] [AUBANK] chunk stage (output exists)
[2026-07-07 19:52:14,295] [INFO] [__main__] Running normalize stage for AUBANK
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295033] [START] [AUBANK] normalize stage
[2026-07-07 19:52:14,295] [INFO] [__main__] [Normalize] [AUBANK] processing
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295094] [DONE] [AUBANK] normalize stage completed
[2026-07-07 19:52:14,295] [INFO] [__main__] Running discover stage for AWL
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295143] [START] [AWL] discover stage
[2026-07-07 19:52:14,295] [INFO] [__main__] Discover stage for AWL
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295198] [DONE] [AWL] discover stage completed
[2026-07-07 19:52:14,295] [INFO] [__main__] Running numeric stage for AWL
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295245] [START] [AWL] numeric stage
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295285] [SKIP] [AWL] numeric stage (output exists)
[2026-07-07 19:52:14,295] [INFO] [__main__] Running document stage for AWL
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295333] [START] [AWL] document stage
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295369] [SKIP] [AWL] document stage (output exists)
[2026-07-07 19:52:14,295] [INFO] [__main__] Running convert stage for AWL
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295415] [START] [AWL] convert stage
[2026-07-07 19:52:14,295] [INFO] [__main__] [Convert] [AWL] processing
[2026-07-07 19:52:14,295] [INFO] [__main__] [2026-07-07T19:52:14.295560] [DONE] [AWL] convert stage completed
