Symbol,isin,bse_code,name,industry,market_cap_category,Index
INDIANB,INE562A01011,532814,Indian Bank,Financial Services,mid_small_cap,nifty_midsmallcap400
IEX,INE022Q01020,540750,Indian Energy Exchange Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
IOB,INE565A01014,532388,Indian Overseas Bank,Financial Services,mid_small_cap,nifty_midsmallcap400
IRCTC,INE335Y01020,542830,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
IREDA,INE202E01016,544026,Indian Renewable Energy Development Agency Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
IGL,INE203G01027,532514,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
INDUSTOWER,INE121J01017,534816,Indus Towers Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
INDUSINDBK,INE095A01012,532187,IndusInd Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
NAUKRI,INE663F01032,532777,Info Edge (India) Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
INOXWIND,INE066P01011,539083,Inox Wind Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
INTELLECT,INE306R01017,538835,Intellect Design Arena Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
IGIL,INE0Q9301021,Unlisted,International Gemological Institute Ltd.,Services,mid_small_cap,nifty_midsmallcap400
IKS,INE115Q01022,Unlisted,Inventurus Knowledge Solutions Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
IPCALAB,INE571A01038,524494,Ipca Laboratories Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
JBCHEPHARM,INE572A01036,506943,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
JKCEMENT,INE823G01014,532644,J.K. Cement Ltd.,Construction Materials,mid_small_cap,nifty_midsmallcap400
JBMA,INE927D01051,532605,JBM Auto Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
JKTYRE,INE573A01042,530007,JK Tyre & Industries Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
JMFINANCIL,INE780C01023,523405,JM Financial Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
JSWCEMENT,INE718I01012,Unlisted,JSW Cement Ltd.,Construction Materials,mid_small_cap,nifty_midsmallcap400
JSWDULUX,INE133A01011,Unlisted,JSW Dulux Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
JSWENERGY,INE121E01018,533148,JSW Energy Ltd.,Power,mid_small_cap,nifty_midsmallcap400
JSWINFRA,INE880J01026,543994,JSW Infrastructure Ltd.,Services,mid_small_cap,nifty_midsmallcap400
JAINREC,INE0YD401026,Unlisted,Jain Resource Recycling Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
JPPOWER,INE351F01018,532627,Jaiprakash Power Ventures Ltd.,Power,mid_small_cap,nifty_midsmallcap400
J&KBANK,INE168A01041,532209,Jammu & Kashmir Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
JINDALSAW,INE324A01032,532286,Jindal Saw Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
JSL,INE220G01021,532508,Jindal Stainless Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
JUBLFOOD,INE797F01020,533155,Jubilant Foodworks Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
JUBLINGREA,INE0BY001018,543271,Jubilant Ingrevia Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
JUBLPHARMA,INE700A01033,530019,Jubilant Pharmova Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
JWL,INE209L01016,533272,Jupiter Wagons Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
JYOTICNC,INE980O01024,544081,Jyoti CNC Automation Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
KPRMILL,INE930H01031,532889,K.P.R. Mill Ltd.,Textiles,mid_small_cap,nifty_midsmallcap400
KEI,INE878B01027,517569,KEI Industries Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
KPITTECH,INE04I401011,542651,KPIT Technologies Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
KAJARIACER,INE217B01036,500233,Kajaria Ceramics Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
KPIL,INE220B01022,522287,Kalpataru Projects International Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
KALYANKJIL,INE303R01014,543278,Kalyan Jewellers India Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
KARURVYSYA,INE036D01028,590003,Karur Vysya Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
KAYNES,INE918Z01012,543664,Kaynes Technology India Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
KEC,INE389H01022,532714,Kec International Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
KFINTECH,INE138Y01010,543720,Kfin Technologies Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
